anio,mes,sector,establecimientos
2014,septiembre,Plastica,7
2014,octubre,Plastica,7
2014,noviembre,Plastica,7
2014,diciembre,Plastica,7
2015,enero,Plastica,7
2015,febrero,Plastica,7
2015,marzo,Plastica,7
2015,abril,Plastica,7
2015,mayo,Plastica,7
2015,junio,Plastica,7
2015,julio,Plastica,7
2015,agosto,Plastica,7
2015,septiembre,Plastica,7
2015,octubre,Plastica,7
2015,noviembre,Plastica,7
2015,diciembre,Plastica,7
2016,enero,Plastica,7
2016,febrero,Plastica,7
2016,marzo,Plastica,7
2016,abril,Plastica,7
2016,mayo,Plastica,7
2016,junio,Plastica,7
2016,julio,Plastica,7
2016,agosto,Plastica,7
2016,septiembre,Plastica,7
2016,octubre,Plastica,7
2016,noviembre,Plastica,7
2016,diciembre,Plastica,7
2017,enero,Plastica,7
2017,febrero,Plastica,7
2017,marzo,Plastica,7
2017,abril,Plastica,7
2017,mayo,Plastica,7
2017,junio,Plastica,7
2017,julio,Plastica,7
2017,agosto,Plastica,7
2017,septiembre,Plastica,7
2017,octubre,Plastica,7
2017,noviembre,Plastica,7
2017,diciembre,Plastica,7
2018,enero,Plastica,7
2018,febrero,Plastica,7
2018,marzo,Plastica,7
2018,abril,Plastica,7
2018,mayo,Plastica,7
2018,junio,Plastica,7
2018,julio,Plastica,7
2018,agosto,Plastica,7
2018,septiembre,Plastica,7
2018,octubre,Plastica,7
2018,noviembre,Plastica,7
2018,diciembre,Plastica,7
2019,enero,Plastica,7
2019,febrero,Plastica,7
2019,marzo,Plastica,7
2019,abril,Plastica,7
2019,mayo,Plastica,7
2019,junio,Plastica,7
2019,julio,Plastica,7
2019,agosto,Plastica,7
2019,septiembre,Plastica,7
2019,octubre,Plastica,7
2019,noviembre,Plastica,7
2019,diciembre,Plastica,7
2020,enero,Plastica,7
2020,febrero,Plastica,7
2020,marzo,Plastica,7
2020,abril,Plastica,7
2020,mayo,Plastica,7
2020,junio,Plastica,7
2020,julio,Plastica,7
2020,agosto,Plastica,7
2020,septiembre,Plastica,7
2020,octubre,Plastica,7
2020,noviembre,Plastica,7
2020,diciembre,Plastica,7
2021,enero,Plastica,7
2021,febrero,Plastica,7
2021,marzo,Plastica,7
2021,abril,Plastica,7
2021,mayo,Plastica,7
2021,junio,Plastica,7
2021,julio,Plastica,7
2021,agosto,Plastica,7
2021,septiembre,Plastica,7
2021,octubre,Plastica,7
2021,noviembre,Plastica,7
2021,diciembre,Plastica,7
2022,enero,Plastica,7
2022,febrero,Plastica,7
2022,marzo,Plastica,7
2022,abril,Plastica,7
2022,mayo,Plastica,7
2022,junio,Plastica,7
2022,julio,Plastica,7
2022,agosto,Plastica,7
2022,septiembre,Plastica,7
2022,octubre,Plastica,7
2022,noviembre,Plastica,7
2022,diciembre,Plastica,7
2023,enero,Plastica,7
2023,febrero,Plastica,7
2023,marzo,Plastica,7
2023,abril,Plastica,7
2023,mayo,Plastica,7
2023,junio,Plastica,7
2023,julio,Plastica,7
2023,agosto,Plastica,7
2023,septiembre,Plastica,7
2023,octubre,Plastica,7
2023,noviembre,Plastica,6
2023,diciembre,Plastica,7
2024,enero,Plastica,7
2024,febrero,Plastica,7
2024,marzo,Plastica,7
2024,abril,Plastica,7
2024,mayo,Plastica,7
2024,junio,Plastica,7
2024,julio,Plastica,7
2024,agosto,Plastica,7
2024,septiembre,Plastica,7
2024,octubre,Plastica,7
