anio,mes,sector,Produccion,empleados,establecimientos
2018,noviembre,Confeccionista,258550,312,5
2018,noviembre,Electronica,886652,6912,25
2018,noviembre,Otros,56288,407,2
2018,noviembre,Pesquera,2004289,441,3
2018,noviembre,Plastica,8778516,734,7
2018,noviembre,Textil,1676250,652,8
2018,diciembre,Confeccionista,105068,309,5
2018,diciembre,Electronica,516471,6237,25
2018,diciembre,Otros,4056,392,2
2018,diciembre,Pesquera,1204108,468,3
2018,diciembre,Plastica,4756251,738,7
2018,diciembre,Textil,879735,622,8
2019,enero,Confeccionista,133370,285,4
2019,enero,Electronica,361916,6202,25
2019,enero,Otros,31302,394,2
2019,enero,Pesquera,2168772,472,3
2019,enero,Plastica,6653549,759,7
2019,enero,Textil,836480,621,8
2019,febrero,Confeccionista,213945,245,5
2019,febrero,Electronica,722980,6026,25
2019,febrero,Otros,66238,386,2
2019,febrero,Pesquera,1806644,461,3
2019,febrero,Plastica,8161728,702,7
2019,febrero,Textil,1394865,622,8
2019,marzo,Confeccionista,185119,244,5
2019,marzo,Electronica,778486,5876,24
2019,marzo,Otros,81114,383,2
2019,marzo,Pesquera,1700333,470,3
2019,marzo,Plastica,9577034,700,7
2019,marzo,Textil,1507704,615,8
2019,abril,Confeccionista,197315,219,5
2019,abril,Electronica,835813,5908,24
2019,abril,Otros,92904,366,2
2019,abril,Pesquera,1752975,482,3
2019,abril,Plastica,9202770,679,7
2019,abril,Textil,1752580,614,8
2019,mayo,Confeccionista,249348,220,4
2019,mayo,Electronica,983448,5944,24
2019,mayo,Otros,93704,364,2
2019,mayo,Pesquera,1671495,479,3
2019,mayo,Plastica,10259123,667,7
2019,mayo,Textil,1688659,622,8
2019,junio,Confeccionista,223158,219,4
2019,junio,Electronica,874689,6025,24
2019,junio,Otros,86334,365,2
2019,junio,Pesquera,1101290,478,3
2019,junio,Plastica,10790813,663,7
2019,junio,Textil,1713404,609,8
2019,julio,Confeccionista,229626,221,5
2019,julio,Electronica,1169246,6124,24
2019,julio,Otros,109590,387,2
2019,julio,Pesquera,1200154,460,3
2019,julio,Plastica,10525011,664,7
2019,julio,Textil,2056799,619,8
2019,agosto,Confeccionista,270673,216,5
2019,agosto,Electronica,1130373,6085,24
2019,agosto,Otros,83586,399,2
2019,agosto,Pesquera,717461,459,3
2019,agosto,Plastica,10142377,664,7
2019,agosto,Textil,2129574,620,8
2019,septiembre,Confeccionista,270749,213,4
2019,septiembre,Electronica,841821,5868,24
2019,septiembre,Otros,58716,393,2
2019,septiembre,Pesquera,153983,456,3
2019,septiembre,Plastica,10640743,661,7
2019,septiembre,Textil,1881599,619,8
2019,octubre,Confeccionista,314997,205,5
2019,octubre,Electronica,886472,5829,24
2019,octubre,Otros,21738,392,2
2019,octubre,Pesquera,1462599,459,3
2019,octubre,Plastica,11502118,664,7
2019,octubre,Textil,2206637,629,8
2019,noviembre,Confeccionista,292751,217,5
2019,noviembre,Electronica,838822,5902,24
2019,noviembre,Otros,11280,342,2
2019,noviembre,Pesquera,1421721,456,3
2019,noviembre,Plastica,10979461,670,7
2019,noviembre,Textil,2195192,621,8
2019,diciembre,Confeccionista,188507,211,5
2019,diciembre,Electronica,690316,5894,24
2019,diciembre,Otros,1170,336,2
2019,diciembre,Pesquera,1316945,491,3
2019,diciembre,Plastica,6903002,665,7
2019,diciembre,Textil,1418336,620,8
2020,enero,Confeccionista,168608,220,5
2020,enero,Electronica,564258,5676,24
2020,enero,Otros,8589,312,2
2020,enero,Pesquera,1471039,483,3
2020,enero,Plastica,9536177,685,7
2020,enero,Textil,1221121,627,8
2020,febrero,Confeccionista,276862,228,5
2020,febrero,Electronica,759914,5660,23
2020,febrero,Otros,7884,322,2
2020,febrero,Pesquera,1663602,483,3
2020,febrero,Plastica,10300779,698,7
2020,febrero,Textil,1796964,628,8
2020,marzo,Confeccionista,149332,231,5
2020,marzo,Electronica,440186,5732,23
2020,marzo,Otros,5400,321,2
2020,marzo,Pesquera,1206789,465,3
2020,marzo,Plastica,10764049,692,7
2020,marzo,Textil,1155162,637,8
2020,abril,Confeccionista,0,210,5
2020,abril,Electronica,0,5223,23
2020,abril,Otros,0,303,2
2020,abril,Pesquera,1284353,480,3
2020,abril,Plastica,10061129,712,7
2020,abril,Textil,0,624,8
2020,mayo,Confeccionista,80992,224,5
2020,mayo,Electronica,310987,6150,23
2020,mayo,Otros,2184,346,2
2020,mayo,Pesquera,1600866,497,3
2020,mayo,Plastica,10971348,670,7
2020,mayo,Textil,491542,615,8
2020,junio,Confeccionista,163654,239,5
2020,junio,Electronica,792215,7091,23
2020,junio,Otros,5124,406,2
2020,junio,Pesquera,1007177,489,3
2020,junio,Plastica,11446278,683,7
2020,junio,Textil,1576215,603,8
2020,julio,Confeccionista,232293,252,5
2020,julio,Electronica,1131857,7570,24
2020,julio,Otros,8856,429,2
2020,julio,Pesquera,1327465,495,3
2020,julio,Plastica,11148417,679,7
2020,julio,Textil,1841171,620,8
2020,agosto,Confeccionista,68020,251,5
2020,agosto,Electronica,587285,7414,24
2020,agosto,Otros,5060,355,2
2020,agosto,Pesquera,1441705,492,3
2020,agosto,Plastica,11399229,672,7
2020,agosto,Textil,634402,612,8
2020,septiembre,Confeccionista,277586,257,5
2020,septiembre,Electronica,1182031,8636,24
2020,septiembre,Otros,11376,460,2
2020,septiembre,Pesquera,1192348,505,3
2020,septiembre,Plastica,10401474,673,7
2020,septiembre,Textil,2202280,628,8
2020,octubre,Confeccionista,258316,290,5
2020,octubre,Electronica,1319701,9839,24
2020,octubre,Otros,12064,459,2
2020,octubre,Pesquera,1728487,495,3
2020,octubre,Plastica,10409432,696,7
2020,octubre,Textil,1975138,631,8
2020,noviembre,Confeccionista,304086,295,5
2020,noviembre,Electronica,1546342,10347,23
2020,noviembre,Otros,11292,413,2
2020,noviembre,Pesquera,981841,531,3
2020,noviembre,Plastica,10819058,698,7
2020,noviembre,Textil,2233046,646,8
2020,diciembre,Confeccionista,165182,262,4
2020,diciembre,Electronica,1176020,8457,23
2020,diciembre,Otros,11160,337,2
2020,diciembre,Pesquera,1533052,538,3
2020,diciembre,Plastica,9153274,700,7
2020,diciembre,Textil,1546142,665,8
2021,enero,Confeccionista,217807,274,5
2021,enero,Electronica,915482,8981,23
2021,enero,Otros,6936,391,2
