anio,mes,sector,Produccion
2024,julio,Plastica,10934814
2024,agosto,Plastica,11934099
2024,septiembre,Plastica,13697033
2024,octubre,Plastica,13789207
2024,noviembre,Plastica,11924179
2024,diciembre,Plastica,9188063
2025,enero,Plastica,8405515
2025,febrero,Plastica,9946155
2013,enero,Textil,2067922
2013,febrero,Textil,2210462
2013,marzo,Textil,2999587
2013,abril,Textil,2624834
2013,mayo,Textil,2943540
2013,junio,Textil,2301203
2013,julio,Textil,2936354
2013,agosto,Textil,2670095
2013,septiembre,Textil,2770689
2013,octubre,Textil,3070526
2013,noviembre,Textil,3067645
2013,diciembre,Textil,2459273
2014,enero,Textil,1894573
2014,febrero,Textil,2429042
2014,marzo,Textil,2532458
2014,abril,Textil,2530014
2014,mayo,Textil,2821149
2014,junio,Textil,2505722
2014,julio,Textil,2672114
2014,agosto,Textil,2579214
2014,septiembre,Textil,2330475
2014,octubre,Textil,2343326
2014,noviembre,Textil,2398956
2014,diciembre,Textil,1662619
2015,enero,Textil,1753597
2015,febrero,Textil,2502238
2015,marzo,Textil,2881814
2015,abril,Textil,2485116
2015,mayo,Textil,2449465
2015,junio,Textil,2168984
2015,julio,Textil,2550138
2015,agosto,Textil,2711991
2015,septiembre,Textil,3063759
2015,octubre,Textil,3445725
2015,noviembre,Textil,3436191
2015,diciembre,Textil,2640509
2016,enero,Textil,1649512
2016,febrero,Textil,2700294
2016,marzo,Textil,3249374
2016,abril,Textil,3109397
2016,mayo,Textil,3121007
2016,junio,Textil,2798118
2016,julio,Textil,2827302
2016,agosto,Textil,3004649
2016,septiembre,Textil,2866470
2016,octubre,Textil,2752536
2016,noviembre,Textil,3168790
2016,diciembre,Textil,1523007
2017,enero,Textil,1710275
2017,febrero,Textil,2590672
2017,marzo,Textil,3010019
2017,abril,Textil,2636862
2017,mayo,Textil,2799121
2017,junio,Textil,2980543
2017,julio,Textil,3242415
2017,agosto,Textil,3450068
2017,septiembre,Textil,2897709
2017,octubre,Textil,2825190
2017,noviembre,Textil,3166027
2017,diciembre,Textil,1862277
2018,enero,Textil,2227092
2018,febrero,Textil,2755876
2018,marzo,Textil,3013315
2018,abril,Textil,2838847
2018,mayo,Textil,2915634
2018,junio,Textil,2260029
2018,julio,Textil,2569102
2018,agosto,Textil,2316587
2018,septiembre,Textil,1816070
2018,octubre,Textil,1858234
2018,noviembre,Textil,1676250
2018,diciembre,Textil,879735
2019,enero,Textil,836480
2019,febrero,Textil,1394865
2019,marzo,Textil,1507704
2019,abril,Textil,1752580
2019,mayo,Textil,1688659
2019,junio,Textil,1713404
2019,julio,Textil,2056799
2019,agosto,Textil,2129574
2019,septiembre,Textil,1881599
2019,octubre,Textil,2206637
2019,noviembre,Textil,2195192
2019,diciembre,Textil,1418336
2020,enero,Textil,1221121
2020,febrero,Textil,1796964
2020,marzo,Textil,1155162
2020,abril,Textil,1881599
2020,mayo,Textil,491542
2020,junio,Textil,1576215
2020,julio,Textil,1841171
2020,agosto,Textil,634402
2020,septiembre,Textil,2202280
2020,octubre,Textil,1975138
2020,noviembre,Textil,2233046
2020,diciembre,Textil,1546142
2021,enero,Textil,1407778
2021,febrero,Textil,1692532
2021,marzo,Textil,2495555
2021,abril,Textil,1993665
2021,mayo,Textil,1271155
2021,junio,Textil,1315753
2021,julio,Textil,1254530
2021,agosto,Textil,1396293
2021,septiembre,Textil,1517379
2021,octubre,Textil,1565720
2021,noviembre,Textil,1590248
2021,diciembre,Textil,1226051
2022,enero,Textil,1076128
2022,febrero,Textil,1524745
2022,marzo,Textil,2152929
2022,abril,Textil,2263563
2022,mayo,Textil,2348273
2022,junio,Textil,2356549
2022,julio,Textil,2549434
2022,agosto,Textil,2308382
2022,septiembre,Textil,2042109
2022,octubre,Textil,1845890
2022,noviembre,Textil,2005968
2022,diciembre,Textil,964152
2023,enero,Textil,1385219
2023,febrero,Textil,1755969
2023,marzo,Textil,1882010
2023,abril,Textil,1182921
2023,mayo,Textil,1393146
2023,junio,Textil,1353884
2023,julio,Textil,1242206
2023,agosto,Textil,1255704
2023,septiembre,Textil,1237881
2023,octubre,Textil,1000576
2023,noviembre,Textil,824549
2023,diciembre,Textil,1033456
2024,enero,Textil,974546
2024,febrero,Textil,751429
2024,marzo,Textil,1012831
2024,abril,Textil,757344
2024,mayo,Textil,737524
2024,junio,Textil,587097
2024,julio,Textil,1124297
2024,agosto,Textil,1141676
2024,septiembre,Textil,158735
2024,octubre,Textil,298983
2024,noviembre,Textil,842679
2024,diciembre,Textil,689464
2025,enero,Textil,1133811
2025,febrero,Textil,1150230
2025,marzo,Textil,863566
