anio,mes,sector,empleados
2005,julio,Plastica,555
2005,agosto,Plastica,565
2005,septiembre,Plastica,549
2005,octubre,Plastica,570
2005,noviembre,Plastica,615
2005,diciembre,Plastica,606
2006,enero,Plastica,696
2006,febrero,Plastica,701
2006,marzo,Plastica,650
2006,abril,Plastica,639
2006,mayo,Plastica,661
2006,junio,Plastica,627
2006,julio,Plastica,638
2006,agosto,Plastica,661
2006,septiembre,Plastica,667
2006,octubre,Plastica,678
2006,noviembre,Plastica,706
2006,diciembre,Plastica,647
2007,enero,Plastica,608
2007,febrero,Plastica,612
2007,marzo,Plastica,649
2007,abril,Plastica,664
2007,mayo,Plastica,651
2007,junio,Plastica,655
2007,julio,Plastica,663
2007,agosto,Plastica,713
2007,septiembre,Plastica,734
2007,octubre,Plastica,720
2007,noviembre,Plastica,719
2007,diciembre,Plastica,708
2008,enero,Plastica,722
2008,febrero,Plastica,803
2008,marzo,Plastica,711
2008,abril,Plastica,712
2008,mayo,Plastica,702
2008,junio,Plastica,699
2008,julio,Plastica,691
2008,agosto,Plastica,663
2008,septiembre,Plastica,654
2008,octubre,Plastica,644
2008,noviembre,Plastica,648
2008,diciembre,Plastica,644
2009,enero,Plastica,704
2009,febrero,Plastica,710
2009,marzo,Plastica,700
2009,abril,Plastica,672
2009,mayo,Plastica,635
2009,junio,Plastica,632
2009,julio,Plastica,622
2009,agosto,Plastica,616
2009,septiembre,Plastica,648
2009,octubre,Plastica,653
2009,noviembre,Plastica,652
2009,diciembre,Plastica,683
2010,enero,Plastica,753
2010,febrero,Plastica,724
2010,marzo,Plastica,734
2010,abril,Plastica,740
2010,mayo,Plastica,730
2010,junio,Plastica,701
2010,julio,Plastica,693
2010,agosto,Plastica,772
2010,septiembre,Plastica,769
2010,octubre,Plastica,773
2010,noviembre,Plastica,792
2010,diciembre,Plastica,692
2011,enero,Plastica,795
2011,febrero,Plastica,791
2011,marzo,Plastica,781
2011,abril,Plastica,777
2011,mayo,Plastica,763
2011,junio,Plastica,666
2011,julio,Plastica,723
2011,agosto,Plastica,743
2011,septiembre,Plastica,758
2011,octubre,Plastica,775
2011,noviembre,Plastica,807
2011,diciembre,Plastica,814
2012,enero,Plastica,828
2012,febrero,Plastica,833
2012,marzo,Plastica,834
2012,abril,Plastica,730
2012,mayo,Plastica,766
2012,junio,Plastica,764
2012,julio,Plastica,729
2012,agosto,Plastica,718
2012,septiembre,Plastica,736
2012,octubre,Plastica,750
2012,noviembre,Plastica,729
2012,diciembre,Plastica,746
2013,enero,Plastica,795
2013,febrero,Plastica,812
2013,marzo,Plastica,741
2013,abril,Plastica,742
2013,mayo,Plastica,767
2013,junio,Plastica,740
2013,julio,Plastica,721
2013,agosto,Plastica,723
2013,septiembre,Plastica,723
2013,octubre,Plastica,723
2013,noviembre,Plastica,722
2013,diciembre,Plastica,726
2014,enero,Plastica,731
2014,febrero,Plastica,727
2014,marzo,Plastica,717
2014,abril,Plastica,717
2014,mayo,Plastica,718
2014,junio,Plastica,721
2014,julio,Plastica,732
2014,agosto,Plastica,707
2014,septiembre,Plastica,709
2014,octubre,Plastica,723
2014,noviembre,Plastica,734
2014,diciembre,Plastica,755
2015,enero,Plastica,750
2015,febrero,Plastica,761
2015,marzo,Plastica,753
2015,abril,Plastica,751
2015,mayo,Plastica,787
2015,junio,Plastica,785
2015,julio,Plastica,801
2015,agosto,Plastica,810
2015,septiembre,Plastica,806
2015,octubre,Plastica,813
2015,noviembre,Plastica,780
2015,diciembre,Plastica,780
2016,enero,Plastica,817
2016,febrero,Plastica,838
2016,marzo,Plastica,812
2016,abril,Plastica,796
2016,mayo,Plastica,772
2016,junio,Plastica,765
2016,julio,Plastica,763
2016,agosto,Plastica,762
2016,septiembre,Plastica,763
2016,octubre,Plastica,765
2016,noviembre,Plastica,769
2016,diciembre,Plastica,797
2017,enero,Plastica,834
2017,febrero,Plastica,830
2017,marzo,Plastica,809
2017,abril,Plastica,781
2017,mayo,Plastica,759
2017,junio,Plastica,749
2017,julio,Plastica,734
2017,agosto,Plastica,738
2017,septiembre,Plastica,736
2017,octubre,Plastica,737
2017,noviembre,Plastica,741
2017,diciembre,Plastica,743
2018,enero,Plastica,771
2018,febrero,Plastica,767
2018,marzo,Plastica,759
2018,abril,Plastica,745
2018,mayo,Plastica,743
2018,junio,Plastica,740
2018,julio,Plastica,746
2018,agosto,Plastica,746
2018,septiembre,Plastica,738
2018,octubre,Plastica,737
2018,noviembre,Plastica,734
2018,diciembre,Plastica,738
2019,enero,Plastica,759
2019,febrero,Plastica,702
2019,marzo,Plastica,700
2019,abril,Plastica,679
2019,mayo,Plastica,667
2019,junio,Plastica,663
2019,julio,Plastica,664
2019,agosto,Plastica,664
2019,septiembre,Plastica,661
2019,octubre,Plastica,664
2019,noviembre,Plastica,670
2019,diciembre,Plastica,665
2020,enero,Plastica,685
2020,febrero,Plastica,698
2020,marzo,Plastica,692
2020,abril,Plastica,712
2020,mayo,Plastica,670
2020,junio,Plastica,683
2020,julio,Plastica,679
2020,agosto,Plastica,672
2020,septiembre,Plastica,673
2020,octubre,Plastica,696
2020,noviembre,Plastica,698
2020,diciembre,Plastica,700
2021,enero,Plastica,728
2021,febrero,Plastica,729
2021,marzo,Plastica,730
2021,abril,Plastica,706
2021,mayo,Plastica,698
2021,junio,Plastica,681
2021,julio,Plastica,678
2021,agosto,Plastica,686
2021,septiembre,Plastica,699
2021,octubre,Plastica,691
2021,noviembre,Plastica,711
2021,diciembre,Plastica,715
2022,enero,Plastica,767
2022,febrero,Plastica,759
2022,marzo,Plastica,748
2022,abril,Plastica,720
2022,mayo,Plastica,722
2022,junio,Plastica,727
2022,julio,Plastica,720
2022,agosto,Plastica,711
2022,septiembre,Plastica,700
2022,octubre,Plastica,705
2022,noviembre,Plastica,707
2022,diciembre,Plastica,705
2023,enero,Plastica,717
2023,febrero,Plastica,728
2023,marzo,Plastica,722
2023,abril,Plastica,716
2023,mayo,Plastica,699
2023,junio,Plastica,698
2023,julio,Plastica,716
2023,agosto,Plastica,710
2023,septiembre,Plastica,718
2023,octubre,Plastica,720
2023,noviembre,Plastica,681
2023,diciembre,Plastica,728
2024,enero,Plastica,761
2024,febrero,Plastica,740
2024,marzo,Plastica,728
2024,abril,Plastica,683
2024,mayo,Plastica,642
2024,junio,Plastica,640
2024,julio,Plastica,617
2024,agosto,Plastica,626
2024,septiembre,Plastica,646
2024,octubre,Plastica,658
2024,noviembre,Plastica,662
2024,diciembre,Plastica,667
2025,enero,Plastica,652
2025,febrero,Plastica,663
2025,marzo,Plastica,652
2001,enero,Textil,274
2001,febrero,Textil,283
2001,marzo,Textil,286
2001,abril,Textil,283
2001,mayo,Textil,306
2001,junio,Textil,329
2001,julio,Textil,329
2001,agosto,Textil,345
2001,septiembre,Textil,338
2001,octubre,Textil,321
2001,noviembre,Textil,301
2001,diciembre,Textil,261
2002,enero,Textil,256
2002,febrero,Textil,257
2002,marzo,Textil,261
2002,abril,Textil,252
2002,mayo,Textil,252
2002,junio,Textil,231
2002,julio,Textil,240
2002,agosto,Textil,242
2002,septiembre,Textil,260
2002,octubre,Textil,272
2002,noviembre,Textil,289
2002,diciembre,Textil,297
2003,enero,Textil,298
2003,febrero,Textil,285
2003,marzo,Textil,320
2003,abril,Textil,325
2003,mayo,Textil,334
2003,junio,Textil,336
2003,julio,Textil,345
2003,agosto,Textil,376
2003,septiembre,Textil,382
2003,octubre,Textil,394
2003,noviembre,Textil,390
2003,diciembre,Textil,388
2004,enero,Textil,410
2004,febrero,Textil,424
2004,marzo,Textil,415
2004,abril,Textil,411
2004,mayo,Textil,427
2004,junio,Textil,434
2004,julio,Textil,441
2004,agosto,Textil,450
2004,septiembre,Textil,443
2004,octubre,Textil,464
2004,noviembre,Textil,466
2004,diciembre,Textil,448
2005,enero,Textil,472
2005,febrero,Textil,485
2005,marzo,Textil,500
2005,abril,Textil,509
2005,mayo,Textil,515
2005,junio,Textil,525
2005,julio,Textil,536
2005,agosto,Textil,530
2005,septiembre,Textil,545
2005,octubre,Textil,557
2005,noviembre,Textil,576
2005,diciembre,Textil,587
2006,enero,Textil,585
2006,febrero,Textil,579
2006,marzo,Textil,574
2006,abril,Textil,557
2006,mayo,Textil,558
2006,junio,Textil,561
2006,julio,Textil,567
2006,agosto,Textil,567
2006,septiembre,Textil,576
2006,octubre,Textil,596
